canonical_name,player_name,fixture_id,team_id,formation,grid,grid_row,grid_col_normalized,observed_band,expected_side,confidence,inferred_side,correct_under_selected_mapping
T. Hernández,T. Hernandez,1438977,2932,3-5-2,3:1,3.0,0.2,low,L,high,L,True
T. Hernández,T. Hernandez,1438757,2932,3-4-2-1,3:1,3.0,0.3333333333333333,low,L,high,L,True
T. Hernández,T. Hernandez,1436064,2932,4-3-3,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1438724,2932,3-4-1-2,3:1,3.0,0.3333333333333333,low,L,high,L,True
A. Hakimi,A. Hakimi,1505617,31,4-1-4-1,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1502467,31,4-1-4-1,2:4,2.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1501836,31,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Robertson,A. Robertson,1379154,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
P. Porro,P. Porro,1479621,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379327,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379313,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379277,47,4-4-2,3:4,3.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379221,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379192,47,3-4-2-1,3:4,3.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379126,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379104,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1379082,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1451079,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379045,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379035,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1378974,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1539715,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
M. Cucurella,M. Cucurella,1451146,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Hakimi,A. Hakimi,1383658,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
T. Hernández,T. Hernandez,1438747,2932,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
A. Robertson,A. Robertson,1379343,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
T. Hernández,T. Hernandez,1436205,2932,3-5-2,3:1,3.0,0.2,low,L,high,L,True
T. Hernández,T. Hernandez,1436164,2932,3-1-4-2,4:1,4.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1452162,2932,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1436182,2932,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1436167,2932,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1436153,2932,4-3-3,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1436123,2932,4-1-4-1,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1436002,2932,4-1-4-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
T. Hernández,T. Hernandez,1436098,2932,4-3-3,2:1,2.0,0.3333333333333333,low,L,high,L,True
T. Hernández,T. Hernandez,1436051,2932,4-4-2,2:1,2.0,0.3333333333333333,low,L,high,L,True
T. Hernández,T. Hernandez,1436004,2932,4-3-3,2:1,2.0,0.3333333333333333,low,L,high,L,True
T. Hernández,T. Hernandez,1438748,2932,3-4-2-1,3:1,3.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1435970,2932,4-3-3,2:1,2.0,0.25,low,L,high,L,True
T. Hernández,T. Hernandez,1435942,2932,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
A. Robinson,A. Robinson,1379342,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Molina,N. Molina,1391157,530,4-5-1,3:5,3.0,1.0,high,R,high,R,True
A. Robertson,A. Robertson,1379293,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
N. Molina,N. Molina,1391055,530,4-1-4-1,2:4,2.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1391034,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379181,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379150,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1390970,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379117,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
A. Robertson,A. Robertson,1479618,40,5-4-1,2:2,2.0,1.0,high,L,high,R,False
N. Molina,N. Molina,1390870,530,5-3-2,2:5,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1379347,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,M. Cucurella,1379272,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Robinson,A. Robinson,1379253,36,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
A. Robinson,A. Robinson,1379148,36,4-2-3-1,2:1,2.0,1.0,high,L,high,R,False
M. Cucurella,M. Cucurella,1379122,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
P. Porro,P. Porro,1379054,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1377938,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
A. Hakimi,A. Hakimi,1321699,85,4-3-3,2:4,2.0,1.0,high,R,high,R,True
M. Cucurella,Marc Cucurella,1321685,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Robinson,A. Robinson,1379322,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
D. Dumfries,D. Dumfries,1378177,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1391090,530,3-5-2,3:5,3.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1484852,36,4-2-3-1,2:1,2.0,1.0,high,L,high,R,False
N. Molina,N. Molina,1390944,530,4-1-4-1,2:4,2.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1377897,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
N. Molina,N. Molina,1503644,530,4-4-2,2:4,2.0,1.0,high,R,high,R,True
N. Tagliafico,N. Tagliafico,1387847,80,4-3-1-2,2:1,2.0,1.0,high,L,high,R,False
N. Molina,N. Molina,1490978,530,5-3-2,2:4,2.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1377868,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
N. Tagliafico,N. Tagliafico,1495626,80,4-3-3,2:1,2.0,1.0,high,L,high,R,False
P. Porro,P. Porro,1451076,47,4-2-3-1,2:4,2.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1451044,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Robertson,A. Robertson,1451160,40,4-2-3-1,2:1,2.0,0.3333333333333333,low,L,high,L,True
M. Cucurella,M. Cucurella,1451083,49,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
D. Dumfries,D. Dumfries,1383916,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1321723,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
P. Porro,P. Porro,1457280,47,4-3-3,2:4,2.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1457273,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
N. Tagliafico,N. Tagliafico,1387853,80,4-3-3,2:1,2.0,1.0,high,L,high,R,False
D. Dumfries,D. Dumfries,1378208,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1378158,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1377949,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1451028,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1379273,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Robinson,A. Robinson,1379266,36,4-2-3-1,2:1,2.0,1.0,high,L,high,R,False
A. Robinson,A. Robinson,1379182,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
A. Robinson,A. Robinson,1379133,36,4-2-3-1,2:1,2.0,1.0,high,L,high,R,False
A. Robinson,A. Robinson,1379121,36,4-2-3-1,2:1,2.0,1.0,high,L,high,R,False
D. Dumfries,D. Dumfries,1377917,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1378185,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1451058,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1377877,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
N. Tagliafico,N. Tagliafico,1451269,80,4-3-3,2:1,2.0,1.0,high,L,high,R,False
D. Dumfries,D. Dumfries,1377968,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1542548,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
D. Dumfries,D. Dumfries,1451090,505,3-5-2,3:5,3.0,1.0,high,R,high,R,True
A. Robinson,A. Robinson,1506264,36,4-2-3-1,2:1,2.0,0.25,low,L,high,L,True
